id,update_time,province,confirm,confirm_add,confirm_now,heal_add,heal,dead,dead_add
1,2022-11-24,台湾,8210955,17883,8183111.0,0.0,13742,14102,31
2,2022-08-01,台湾,4604761,16576,,0.0,13742,8963,36
3,2022-08-02,台湾,4628294,23533,,0.0,13742,8994,31
4,2022-08-03,台湾,4652186,23892,,0.0,13742,9026,32
5,2022-08-04,台湾,4675128,22942,,0.0,13742,9082,56
6,2022-08-05,台湾,4696969,21841,,0.0,13742,9136,54
7,2022-08-06,台湾,4716819,19850,,0.0,13742,9187,51
8,2022-08-07,台湾,4738861,22042,,0.0,13742,9229,42
9,2022-08-08,台湾,4754268,15407,,0.0,13742,9255,26
10,2022-08-09,台湾,4777903,23635,,0.0,13742,9273,18
11,2022-08-10,台湾,4801676,23773,,0.0,13742,9298,25
12,2022-08-11,台湾,4824550,22874,,0.0,13742,9342,44
13,2022-08-12,台湾,4846501,21951,,0.0,13742,9373,31
14,2022-08-13,台湾,4867766,21265,,0.0,13742,9413,40
15,2022-08-14,台湾,4888840,21074,,0.0,13742,9435,22
16,2022-08-15,台湾,4904622,15782,,0.0,13742,9457,22
17,2022-08-16,台湾,4927754,23132,,0.0,13742,9473,16
18,2022-08-17,台湾,4952570,24816,,0.0,13742,9506,33
19,2022-08-18,台湾,4975970,23400,,0.0,13742,9540,34
20,2022-08-19,台湾,4998765,22795,,0.0,13742,9572,32
21,2022-08-20,台湾,5020895,22130,,0.0,13742,9608,36
22,2022-08-21,台湾,5043275,22380,,0.0,13742,9634,26
23,2022-08-22,台湾,5060178,16903,,0.0,13742,9657,23
24,2022-08-23,台湾,5086521,26343,,0.0,13742,9673,16
25,2022-08-24,台湾,5115052,28531,,0.0,13742,9691,18
26,2022-08-25,台湾,5142279,27227,,0.0,13742,9728,37
27,2022-08-26,台湾,5168997,26718,,0.0,13742,9773,45
28,2022-08-27,台湾,5194850,25853,,0.0,13742,9813,40
29,2022-08-28,台湾,5221585,26735,,0.0,13742,9844,31
30,2022-08-29,台湾,5242009,20424,,0.0,13742,9866,22
31,2022-08-30,台湾,5273449,31440,,0.0,13742,9893,27
32,2022-08-31,台湾,5308029,34580,,0.0,13742,9914,21
33,2022-09-01,台湾,5342106,34077,,0.0,13742,9950,36
34,2022-09-02,台湾,5375883,33777,,0.0,13742,9986,36
35,2022-09-03,台湾,5408641,32758,,0.0,13742,10028,42
36,2022-09-04,台湾,5442981,34340,,0.0,13742,10063,35
37,2022-09-05,台湾,5467059,24078,,0.0,13742,10094,31
38,2022-09-06,台湾,5503725,36666,,0.0,13742,10115,21
39,2022-09-07,台湾,5544974,41249,,0.0,13742,10141,26
40,2022-09-08,台湾,5580027,35053,,0.0,13742,10170,29
41,2022-09-09,台湾,5614227,34200,,0.0,13742,10225,55
42,2022-09-10,台湾,5650028,35801,,0.0,13742,10255,30
43,2022-09-11,台湾,5682133,32105,,0.0,13742,10284,29
44,2022-09-12,台湾,5707688,25555,,0.0,13742,10312,28
45,2022-09-13,台湾,5754683,46995,,0.0,13742,10329,17
46,2022-09-14,台湾,5804343,49660,,0.0,13742,10366,37
47,2022-09-15,台湾,5849748,45405,,0.0,13742,10423,57
48,2022-09-16,台湾,5891355,41607,,0.0,13742,10469,46
49,2022-09-17,台湾,5930927,39572,,0.0,13742,10509,40
50,2022-09-18,台湾,5970438,39511,,0.0,13742,10548,39
51,2022-09-19,台湾,5998860,28422,,0.0,13742,10587,39
52,2022-09-20,台湾,6043539,44679,,0.0,13742,10604,17
53,2022-09-21,台湾,6090373,46834,,0.0,13742,10643,39
54,2022-09-22,台湾,6132794,42421,,0.0,13742,10702,59
55,2022-09-23,台湾,6172769,39975,,0.0,13742,10743,41
56,2022-09-24,台湾,6211093,38324,,0.0,13742,10794,51
57,2022-09-25,台湾,6250051,38958,,0.0,13742,10828,34
58,2022-09-26,台湾,6278794,28743,,0.0,13742,10884,56
59,2022-09-27,台湾,6324578,45784,,0.0,13742,10912,28
60,2022-09-28,台湾,6373121,48543,,0.0,13742,10950,38
61,2022-09-29,台湾,6417941,44820,,0.0,13742,11003,53
