ds,confirm,confirm_add,confirm_now,heal,heal_add,dead,dead_add,importedCase,importedCase_add
2022-09-01,5974028,35968,5627114,322031,815,24883,47,22544,55
2022-09-02,6009747,35719,5662088,322732,701,24927,44,22606,62
2022-09-03,6044288,34541,5695729,323583,851,24976,49,22676,70
2022-09-04,6080405,36117,5731157,324229,1004,25019,92,22722,46
2022-09-05,6106096,25645,5756234,324804,1259,25058,131,22768,46
2022-09-06,6144277,38181,5793679,325510,1612,25088,161,22825,57
2022-09-07,6187141,42864,5835786,326225,1981,25130,203,22864,39
2022-09-08,6223534,36652,5871695,326969,744,25171,41,22906,42
2022-09-09,6259551,35716,5906607,327707,738,25237,66,22957,51
2022-09-10,6296680,37129,5942891,328514,807,25275,38,23012,55
2022-09-11,6330038,33358,5975742,329059,953,25237,38,23074,62
2022-09-12,6356783,26745,6001310,330119,714,25354,39,23128,54
2022-09-13,6404975,48192,6048911,330683,520,25381,27,23169,41
2022-09-14,6455788,50813,6098791,331569,832,25428,47,23210,41
2022-09-15,6502479,46691,6144218,332770,1157,25491,63,23269,59
2022-09-16,6545234,42755,6186222,333459,646,25553,62,23333,64
2022-09-17,6585920,40686,6226115,334196,675,25609,56,23381,48
2022-09-18,6626392,40472,6265816,334905,658,25671,62,23436,55
2022-09-19,6655661,29269,6294491,335458,506,25712,41,23484,48
2022-09-20,6701113,45452,6339228,336141,634,25744,32,23527,43
2022-09-21,6748819,47706,6386210,336817,631,25792,48,23578,51
2022-09-22,6792066,43247,6428699,337499,615,25868,76,23632,54
2022-09-23,6833790,41724,6469698,338018,459,26074,206,23691,59
2022-09-24,6872895,39105,6507749,339014,927,26132,58,23749,58
2022-09-25,6912675,39780,6546943,339556,488,26176,44,23809,60
2022-09-26,6942179,29504,6575953,339982,381,26244,68,23881,72
2022-09-27,6988610,46431,6621947,340385,356,26278,34,23956,75
2022-09-28,7037863,49253,6670664,340869,439,26330,52,24020,64
2022-09-29,7083359,45496,6715655,341316,366,26388,58,24079,59
2022-09-30,7127469,44110,6759225,341798,414,26446,58,24145,66
2022-10-01,7171159,43690,6802376,342283,445,26500,54,24208,63
2022-10-02,7215114,43955,7065031,123515,422,26568,68,24259,51
2022-10-03,7249310,34196,6879564,343137,322,26609,41,24316,57
2022-10-04,7299603,50293,6929248,343707,506,26648,39,24366,50
2022-10-05,7355347,55744,6984537,344104,356,26706,58,24412,46
2022-10-06,7402656,47309,7031366,344521,353,26769,63,24484,72
2022-10-07,7454504,51848,7082750,344931,361,26823,54,24538,54
2022-10-08,7499946,45442,7127660,345374,389,26912,89,24600,62
2022-10-09,7545527,45581,7172796,345754,324,26977,65,24661,61
2022-10-10,7578751,33224,7205556,346151,331,27044,67,24725,64
2022-10-11,7621171,42420,7247471,346611,396,27089,45,24768,43
2022-10-12,7674690,53519,7300448,347107,441,27135,46,24818,50
2022-10-13,7729043,54353,7354281,347590,433,27172,37,24882,64
2022-10-14,7778306,49263,7402960,348087,452,27259,87,24952,70
2022-10-15,7822739,44433,7446772,348624,460,27343,84,25022,70
2022-10-16,7865269,42530,7488745,349111,429,27413,70,25085,63
2022-10-17,7895059,29790,7518011,349577,405,27471,58,25127,42
2022-10-18,7940813,45754,7563210,350092,471,27511,40,25170,43
2022-10-19,7986272,45459,7608043,350664,513,27565,54,25217,47
2022-10-20,8026778,40506,7647918,351194,475,27666,101,25273,56
2022-10-21,8064765,37987,7685217,351795,545,27753,87,25329,56
