id,end_update_time,province,city,county,address,type
1,2022-11-28 11时,北京市,朝阳区,呼家楼街道,关北街21号楼1单元,高风险
2,2022-11-28 11时,北京市,朝阳区,呼家楼街道,关东店5号楼,高风险
3,2022-11-28 11时,北京市,朝阳区,呼家楼街道,光华路1号楼,高风险
4,2022-11-28 11时,北京市,朝阳区,呼家楼街道,好世界商业广场,高风险
5,2022-11-28 11时,北京市,朝阳区,呼家楼街道,核桃园北里甲3号,高风险
6,2022-11-28 11时,北京市,朝阳区,呼家楼街道,呼家楼南里19号楼,高风险
7,2022-11-28 11时,北京市,朝阳区,呼家楼街道,向军北里10号楼,高风险
8,2022-11-28 11时,北京市,朝阳区,呼家楼街道,向军南里3号楼,高风险
9,2022-11-28 11时,北京市,朝阳区,呼家楼街道,新城国际13号楼,高风险
10,2022-11-28 11时,北京市,朝阳区,呼家楼街道,新苑2号楼,高风险
11,2022-11-28 11时,北京市,朝阳区,呼家楼街道,东大桥甲16号楼,高风险
12,2022-11-28 11时,北京市,朝阳区,呼家楼街道,呼家楼南里27楼1单元,高风险
13,2022-11-28 11时,北京市,朝阳区,呼家楼街道,关东店北街15号楼1单元,高风险
14,2022-11-28 11时,北京市,朝阳区,呼家楼街道,关东店北街9号楼2单元,高风险
15,2022-11-28 11时,北京市,朝阳区,呼家楼街道,呼家楼南里19号楼西侧平房29号,高风险
16,2022-11-28 11时,北京市,朝阳区,呼家楼街道,呼家楼南里32号楼6单元,高风险
17,2022-11-28 11时,北京市,朝阳区,呼家楼街道,首都经济贸易大学红庙校区7号楼北侧集装箱房,高风险
18,2022-11-28 11时,北京市,朝阳区,呼家楼街道,金台西路2号院27号楼,高风险
19,2022-11-28 11时,北京市,朝阳区,呼家楼街道,盒子空间国贸馆（酒店）,高风险
20,2022-11-28 11时,北京市,朝阳区,呼家楼街道,呼家楼北里6号楼北单元,高风险
21,2022-11-28 11时,北京市,朝阳区,呼家楼街道,呼家楼南里1楼1单元,高风险
22,2022-11-28 11时,北京市,朝阳区,呼家楼街道,呼家楼南里24号楼,高风险
